date,close,high,low,open,volume
22-05-2023,321.1799927,322.5899963,318.0100098,318.6000061,24115700
23-05-2023,315.2600098,322.7200012,315.25,320.0299988,30797200
24-05-2023,313.8500061,316.5,312.6099854,314.730011,23384900
25-05-2023,325.9200134,326.8999939,320,323.2399902,43301700
26-05-2023,332.8900146,333.3999939,323.8800049,324.019989,36630600
30-05-2023,331.2099915,335.7399902,330.519989,335.230011,29503100
31-05-2023,328.3900146,335.9400024,327.3299866,332.2900085,45950600
01-06-2023,332.5799866,333.5299988,324.7200012,325.9299927,26773900
02-06-2023,335.3999939,337.5,332.5499878,334.25,25864000
05-06-2023,335.9400024,338.5599976,334.6600037,335.2200012,21307100
06-06-2023,333.6799927,335.3699951,332.1700134,335.3299866,20396200
07-06-2023,323.3800049,334.4899902,322.5,331.6499939,40717100
08-06-2023,325.2600098,326.6400146,323.3500061,323.9400024,23277700
09-06-2023,326.7900085,329.9899902,324.4100037,324.9899902,22514900
12-06-2023,331.8500061,332.1000061,325.1600037,328.5799866,24260300
13-06-2023,334.2900085,336.980011,330.3900146,334.4700012,22951300
14-06-2023,337.3399963,339.0400085,332.8099976,334.3399963,26003800
15-06-2023,348.1000061,349.8399963,337.2000122,337.480011,38899100
16-06-2023,342.3299866,351.4700012,341.9500122,351.3200073,46533600
20-06-2023,338.0499878,342.0799866,335.8599854,339.3099976,26375400
21-06-2023,333.5599976,337.730011,332.0700073,336.3699951,25117800
22-06-2023,339.7099915,340.1199951,333.3399963,334.1199951,23556800
23-06-2023,335.019989,337.9599915,333.4500122,334.3599854,23084700
26-06-2023,328.6000061,336.1099854,328.4899902,333.7200012,21520600
27-06-2023,334.5700073,336.1499939,329.2999878,331.8599854,24354100
28-06-2023,335.8500061,337.980011,333.8099976,334.6600037,20259500
29-06-2023,335.0499878,336.1099854,332.6199951,334.7099915,16997000
30-06-2023,340.5400085,342.730011,337.2000122,337.75,26823800
03-07-2023,337.9899902,340.8999939,336.5700073,339.1900024,12508700
05-07-2023,338.1499939,341.6499939,334.730011,335.0899963,18172400
06-07-2023,341.269989,342.9899902,335.5,337.2999878,28161200
07-07-2023,337.2200012,341.7900085,337,339.3200073,21185300
10-07-2023,331.8299866,335.230011,327.5899963,334.6000061,32791400
11-07-2023,332.4700012,332.8599854,327,331.0599976,26698200
12-07-2023,337.2000122,341.6499939,335.6700134,336.6000061,29995300
13-07-2023,342.6600037,343.7399902,339.019989,339.5599976,20567200
14-07-2023,345.2399902,351.4299927,344.3099976,347.5899963,28302200
17-07-2023,345.730011,346.9899902,342.2000122,345.6799927,20363900
18-07-2023,359.4899902,366.7799988,342.1700134,345.8299866,64872700
19-07-2023,355.0799866,362.4599915,352.4400024,361.75,39732900
20-07-2023,346.8699951,357.9700012,345.3699951,353.5700073,33778400
21-07-2023,343.769989,350.2999878,339.8299866,349.1499939,69368900
24-07-2023,345.1099854,346.9200134,342.3099976,345.8500061,26678100
25-07-2023,350.980011,351.8900146,345.0700073,347.1099854,41637700
26-07-2023,337.769989,344.6700134,333.1099854,341.4400024,58383700
27-07-2023,330.7200012,341.3299866,329.0499878,340.480011,39635300
28-07-2023,338.3699951,340.0100098,333.1700134,333.6700134,28484900
31-07-2023,335.9200134,337.7000122,333.3599854,336.9200134,25446000
01-08-2023,336.3399963,338.5400085,333.7000122,335.1900024,18311900
02-08-2023,327.5,333.6300049,326.3599854,333.6300049,27761300
03-08-2023,326.6600037,329.8800049,325.9500122,326,18253700
04-08-2023,327.7799988,335.1400146,327.2399902,331.8800049,23727700
07-08-2023,330.1099854,331.1099854,327.519989,328.3699951,17741500
08-08-2023,326.0499878,328.75,323,326.9599915,22327600
09-08-2023,322.230011,327.1099854,321.0499878,326.4700012,22373300
10-08-2023,322.9299927,328.2600098,321.1799927,326.019989,20113700
11-08-2023,321.0100098,322.4100037,319.2099915,320.2600098,24342600
14-08-2023,324.0400085,324.0599976,320.0799866,321.3900146,18836100
15-08-2023,321.8599854,325.0899963,320.8999939,323,16966300
